,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,,0.0,20,694,-3,5,3,61,94.0,9326.0,95.0
1,,0.0,13,429,-1,1,11,45,43.0,4321.0,59.0
2,,0.0,14,806,-2,3,3,11,32.0,3166.0,68.0
3,,0.0,14,694,-4,5,10,61,97.0,9674.0,92.0
4,,0.0,21,70,0,4,8,15,17.0,1992.0,12.0
5,,0.0,13,263,-5,3,6,53,54.0,5123.0,70.0
6,,0.0,18,586,1,1,7,22,34.0,3488.0,74.0
7,,0.0,14,169,-3,1,10,12,3.0,222.0,17.0
8,,0.0,15,760,-1,1,10,56,67.0,6732.0,81.0
9,,0.0,16,676,-1,2,7,42,69.0,6985.0,83.0
10,,0.0,20,299,0,5,5,44,78.0,7718.0,97.0
11,,0.0,16,355,-1,1,13,13,15.0,1490.0,35.0
12,,0.0,14,356,-1,5,10,34,73.0,7459.0,75.0
13,,0.0,21,288,2,1,9,10,12.0,1280.0,13.0
14,,0.0,20,291,-1,3,4,2,1.0,108.0,96.0
15,,0.0,17,180,2,5,12,52,79.0,7739.0,81.0
16,,0.0,14,640,0,3,11,56,91.0,8886.0,82.0
17,,0.0,14,433,0,1,8,44,39.0,3842.0,59.0
18,,0.0,19,325,-1,2,3,8,7.0,676.0,64.0
19,,0.0,19,610,2,2,11,52,86.0,8566.0,91.0
20,,0.0,18,59,-5,4,8,38,26.0,2685.0,61.0
21,,0.0,13,147,-2,1,10,30,6.0,799.0,20.0
22,,0.0,13,347,5,5,11,22,65.0,6509.0,63.0
23,,0.0,19,575,5,3,8,44,86.0,8578.0,90.0
24,,0.0,13,270,2,1,5,49,20.0,2119.0,42.0
25,,0.0,21,360,3,2,6,13,34.0,3395.0,7.0
26,,0.0,14,340,5,3,7,44,64.0,6182.0,67.0
27,,0.0,18,447,0,1,4,31,30.0,2862.0,73.0
28,,0.0,19,318,0,1,9,49,48.0,4744.0,84.0
29,,0.0,16,148,-3,1,8,39,12.0,1345.0,36.0
30,,0.0,17,634,-2,5,4,32,78.0,7692.0,81.0
31,,0.0,18,109,5,1,6,57,16.0,1616.0,54.0
32,,0.0,21,126,5,3,4,60,50.0,5106.0,4.0
33,,0.0,14,217,1,3,10,54,61.0,6055.0,60.0
34,,0.0,21,228,-5,3,6,45,63.0,6366.0,1.0
35,,0.0,13,470,-3,3,13,49,79.0,7968.0,66.0
36,,0.0,14,194,-4,1,5,30,5.0,660.0,29.0
37,,0.0,15,155,4,5,4,31,37.0,3629.0,53.0
38,,0.0,21,645,1,2,6,36,77.0,7611.0,1.0
39,,0.0,16,628,-4,5,10,50,96.0,9568.0,81.0
40,,0.0,14,91,2,2,9,41,17.0,1874.0,31.0
41,,0.0,19,274,-1,4,11,38,79.0,7712.0,83.0
42,,0.0,13,336,-5,5,3,57,63.0,6277.0,61.0
43,,0.0,16,336,0,2,9,21,36.0,3609.0,50.0
44,,0.0,14,519,-2,2,14,17,49.0,4789.0,46.0
45,,0.0,21,214,4,5,4,59,77.0,7645.0,3.0
46,,0.0,16,659,-1,1,8,43,55.0,5308.0,71.0
47,,0.0,19,731,1,4,4,21,70.0,7061.0,83.0
48,,0.0,15,192,2,4,13,28,53.0,5499.0,48.0
49,,0.0,17,793,0,3,10,52,93.0,9365.0,81.0
50,,0.0,20,403,-3,4,3,14,39.0,4063.0,94.0
51,,0.0,20,572,-4,1,13,22,52.0,5162.0,93.0
52,,0.0,13,569,5,3,9,7,28.0,2678.0,31.0
53,,0.0,18,66,3,5,14,39,50.0,5087.0,51.0
54,,0.0,18,138,-1,4,9,13,24.0,2429.0,41.0
55,,0.0,13,650,5,3,12,59,92.0,9196.0,66.0
56,,0.0,21,584,-3,3,4,47,84.0,8143.0,3.0
57,,0.0,21,737,5,4,10,31,95.0,9495.0,4.0
58,,0.0,18,748,-5,5,10,54,99.0,9849.0,84.0
59,,0.0,18,126,2,1,3,54,8.0,1116.0,50.0
60,,0.0,16,461,2,3,8,45,75.0,7526.0,64.0
61,,0.0,16,730,-5,4,12,28,88.0,8771.0,63.0
62,,0.0,13,742,3,1,11,8,16.0,1476.0,23.0
63,,0.0,19,365,-5,4,13,7,44.0,4278.0,49.0
64,,0.0,15,313,1,2,12,41,57.0,5697.0,47.0
65,,0.0,21,245,1,1,10,31,37.0,3833.0,9.0
66,,0.0,21,575,5,5,3,35,83.0,8313.0,6.0
67,,0.0,17,150,4,3,12,31,46.0,4598.0,44.0
68,,0.0,16,237,3,3,13,61,79.0,7685.0,54.0
69,,0.0,18,180,-3,5,9,47,72.0,6999.0,54.0
70,,0.0,19,752,-2,4,13,21,89.0,8885.0,78.0
71,,0.0,17,113,3,4,4,23,21.0,2126.0,36.0
72,,0.0,18,427,-2,5,11,12,61.0,6209.0,44.0
73,,0.0,20,262,2,4,4,9,23.0,2517.0,98.0
74,,0.0,19,299,2,2,4,10,10.0,1137.0,43.0
75,,0.0,20,302,4,2,4,35,43.0,4412.0,99.0
76,,0.0,21,637,-1,5,3,9,50.0,5103.0,9.0
77,,0.0,17,82,-3,3,7,7,0.0,95.0,17.0
78,,0.0,13,96,-1,4,3,48,19.0,2166.0,30.0
79,,0.0,15,180,-1,1,12,35,19.0,1986.0,27.0
80,,0.0,15,145,-5,2,12,25,22.0,2240.0,23.0
81,,0.0,13,239,5,5,8,11,29.0,2773.0,21.0
82,,0.0,18,469,1,3,11,44,86.0,8353.0,71.0
83,,0.0,17,392,1,4,6,16,47.0,4671.0,40.0
84,,0.0,19,59,4,1,5,34,2.0,334.0,33.0
85,,0.0,19,90,-4,3,6,12,6.0,652.0,27.0
86,,0.0,18,591,0,4,7,11,55.0,5355.0,44.0
87,,0.0,19,387,3,4,14,60,98.0,9609.0,81.0
88,,0.0,21,283,-1,4,5,23,56.0,5666.0,10.0
89,,0.0,14,119,5,5,12,14,27.0,2590.0,17.0
90,,0.0,16,85,-5,5,7,45,36.0,3636.0,25.0
91,,0.0,21,183,-3,3,8,56,71.0,6882.0,9.0
92,,0.0,14,616,5,3,13,15,60.0,6020.0,31.0
93,,0.0,16,792,-2,3,13,35,90.0,8933.0,60.0
94,,0.0,18,81,3,4,6,60,40.0,4326.0,35.0
95,,0.0,13,555,-2,1,13,10,16.0,1502.0,18.0
96,,0.0,14,458,-5,1,8,36,33.0,3316.0,32.0
97,,0.0,21,127,-3,1,12,13,8.0,853.0,14.0
98,,0.0,18,344,-2,3,14,23,66.0,6504.0,43.0
99,,0.0,16,644,1,4,10,13,63.0,6334.0,31.0
