,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,,0.0,21,77,1,4,10,55,50.0,5085.0,84.0
1,,0.0,18,100,1,4,4,28,18.0,1944.0,60.0
2,,0.0,15,544,5,2,7,17,29.0,3017.0,48.0
3,,0.0,20,453,-2,2,4,52,64.0,6216.0,99.0
4,,0.0,21,404,3,4,7,56,91.0,9033.0,98.0
5,,0.0,20,95,3,4,13,26,39.0,4001.0,73.0
6,,0.0,13,194,4,3,13,7,8.0,815.0,11.0
7,,0.0,19,677,-2,4,4,46,88.0,8703.0,97.0
8,,0.0,14,153,4,3,4,45,24.0,2455.0,46.0
9,,0.0,16,88,-5,3,12,58,32.0,3299.0,46.0
10,,0.0,13,437,5,4,11,32,76.0,7474.0,69.0
11,,0.0,19,594,1,5,7,59,98.0,9726.0,96.0
12,,0.0,21,205,0,2,7,55,46.0,4921.0,88.0
13,,0.0,13,185,2,4,12,11,19.0,1874.0,20.0
14,,0.0,15,717,-3,4,14,2,15.0,1445.0,18.0
15,,0.0,20,127,1,4,11,53,70.0,6803.0,88.0
16,,0.0,17,447,2,1,4,36,26.0,2438.0,57.0
17,,0.0,13,800,-4,4,3,52,81.0,7877.0,85.0
18,,0.0,14,69,-3,3,7,9,1.0,127.0,3.0
19,,0.0,20,166,1,5,5,32,45.0,4898.0,84.0
20,,0.0,21,374,5,5,7,32,85.0,8330.0,90.0
21,,0.0,16,57,3,4,7,31,12.0,1543.0,26.0
22,,0.0,17,407,-5,5,10,30,79.0,7948.0,78.0
23,,0.0,15,343,-5,1,7,57,30.0,3062.0,46.0
24,,0.0,14,384,-2,2,5,45,38.0,3762.0,52.0
25,,0.0,18,680,1,1,7,44,50.0,5113.0,77.0
26,,0.0,13,584,-2,2,14,52,78.0,7924.0,66.0
27,,0.0,20,481,2,3,10,11,48.0,4604.0,70.0
28,,0.0,14,248,-2,1,10,50,22.0,2381.0,32.0
