,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,Aboleth,10.0,17,135,-1.09,3,9,12,287.0,28590.0,300.0
1,Acolyte,0.25,10,9,0.1,1,2,2,29.0,2989.0,29.0
2,Adult Black Dragon,14.0,19,195,2.14,3,11,14,300.0,30021.0,319.0
3,Adult Blue Dracolich,17.0,19,225,0.1,3,12,15,306.0,30489.0,321.0
4,Adult Blue Dragon,16.0,19,225,0.1,3,12,15,304.0,30467.0,320.0
5,Adult Brass Dragon,13.0,18,172,0.1,3,11,14,298.0,29753.0,303.0
6,Adult Bronze Dragon,15.0,19,212,0.1,3,12,15,305.0,30453.0,316.0
7,Adult Copper Dragon,14.0,18,184,1.12,3,11,14,299.0,29882.0,301.0
8,Adult Gold Dragon,17.0,19,256,2.14,3,14,16,310.0,30896.0,318.0
9,Adult Green Dragon,15.0,19,207,1.12,3,11,14,303.0,30128.0,312.0
10,Adult Red Dragon,17.0,19,256,0.1,3,14,16,309.0,30883.0,316.0
11,Adult Silver Dragon,16.0,19,243,0.1,3,13,16,307.0,30746.0,315.0
12,Adult White Dragon,13.0,18,200,0.1,3,11,14,301.0,29978.0,299.0
13,Air Elemental,5.0,15,90,5.02,2,8,14,265.0,26489.0,269.0
14,Ancient Black Dragon,21.0,22,367,2.14,3,15,16,315.0,31497.0,314.0
15,Ancient Blue Dragon,23.0,22,481,0.1,3,16,17,319.0,31867.0,314.0
16,Ancient Brass Dragon,20.0,20,297,0.1,3,14,16,311.0,31111.0,312.0
17,Ancient Bronze Dragon,22.0,22,444,0.1,3,16,17,318.0,31791.0,312.0
18,Ancient Copper Dragon,21.0,21,350,1.12,3,15,16,314.0,31345.0,310.0
19,Ancient Gold Dragon,24.0,22,546,2.14,3,17,18,322.0,32141.0,313.0
20,Ancient Green Dragon,22.0,21,385,1.12,3,15,21,317.0,31712.0,309.0
21,Ancient Red Dragon,24.0,22,546,0.1,3,17,18,321.0,32119.0,311.0
